node_name,node_type,node_position,parent,weight
amakhrov,developer,1234.7908403391755|1268.5001791993782|1087.5364211220208,angular/components,7.96
BobobUnicorn,developer,1587.6684713523678|1009.6095258270082|888.4227789695681,angular/components,5.99
michaelfaith,developer,1316.9361311197526|1241.6493834106877|752.13249385679,angular/components,5.83
fireflysemantics,developer,1114.249444735217|1145.1334414312346|1110.1642532847331,angular/components,5.55
robertIsaac,developer,1426.183036966471|1170.6136906564475|919.9985372166836,angular/components,5.24
nishchay7pixels,developer,1317.0392496062655|1303.3277140658174|726.2174668857791,angular/components,5.2
SaishNarvekar,developer,1602.3651022497625|1519.2261665400702|742.0728602835842,angular/components,5.1
iKrishnaSahu,developer,1524.9897803604392|1428.97118922625|1137.4468926270038,angular/components,4.73
josephperrott,developer,1180.4269628341538|1154.9519282968683|735.7790517813079,angular/components,4.58
LayZeeDK,developer,1406.782576006281|1580.062135222363|927.5291959158233,angular/components,4.46
AlixRoyere,developer,1289.3240297308391|1464.3472458826527|813.8818524309908,angular/components,4.16
wartab,developer,1432.5706897894029|1231.3455778995356|550.3924663578655,angular/components,4
raysuelzer,developer,1440.6767337836654|1191.0936918559553|850.1635296043065,angular/components,4
kvizcarra,developer,1019.2366968485333|1545.8711914468129|931.7594404238672,angular/components,3.87
spike-rabbit,developer,1574.9801080769598|1008.4696522338486|753.7081470572826,angular/components,3.86
liesahead,developer,1537.385842846286|1329.4029762989978|1004.5642702758914,angular/components,3.73
Nomackleo,developer,1336.5463740236178|1483.0041360382563|885.8153322201008,angular/components,3.73
ansible/ansible,repo,470.5480468929618|-1384.3898457498287|-1111.8632308309893,,59.35
mattclay,developer,360.61610015059216|-1227.5544080775144|-882.3101899716283,ansible/ansible,57.05
ansibot,developer,430.2956417059429|-1241.5866021044317|-986.5209286310304,ansible/ansible,38.75
s-hertel,developer,373.4134433280308|-1246.8461025462125|-1239.7370927513182,ansible/ansible,38.08
bcoca,developer,741.2801327351095|-1528.732199398867|-1278.3998091597614,ansible/ansible,33.3
sivel,developer,441.40682931955877|-1512.5409677101677|-1369.1809547628536,ansible/ansible,31.44
webknjaz,developer,357.3158711753172|-1549.6668477808137|-1051.8518494125483,ansible/ansible,28.15
Akasurde,developer,500.54765656112244|-1540.4915787709508|-907.3596582515802,ansible/ansible,25
mkrizek,developer,577.00692082486|-1322.0557470605636|-1336.070215140662,ansible/ansible,23.61
felixfontein,developer,715.8285133103158|-1670.5952278538598|-956.6622491054213,ansible/ansible,22.64
samccann,developer,354.8591561995705|-1620.6372749370128|-1160.0029789087,ansible/ansible,22.46
nitzmahone,developer,324.47866475837105|-1121.9330138530254|-1100.3407191335332,ansible/ansible,21.27
oraNod,developer,701.21033432832|-1524.3030149853878|-1065.1849239222174,ansible/ansible,19.19
jborean93,developer,619.6556287030708|-1539.6920581234835|-1055.5780984877251,ansible/ansible,18.38
flowerysong,developer,689.0812415680134|-1387.4814381603628|-1376.0011902883004,ansible/ansible,9.78
vaygr,developer,753.18816064336|-1437.186753520815|-1199.9188830810403,ansible/ansible,7.25
gotmax23,developer,255.7349245916268|-1278.841234135093|-1305.6949297316642,ansible/ansible,6.92
sbettid,developer,429.9433077037323|-1128.3469995711569|-1262.4115811387114,ansible/ansible,6.42
anweshadas,developer,211.39633814375117|-1613.4269627339797|-1004.1433712622213,ansible/ansible,6.24
toydarian,developer,580.3345344326693|-1481.0873735013788|-954.0582411580781,ansible/ansible,5.48
mariolenz,developer,233.2071382159869|-1328.1182500269547|-1159.3688200833224,ansible/ansible,5.24
eversonleal,developer,736.6734670190485|-1675.7273692475512|-875.8237390014406,ansible/ansible,4.9
JaroslavKlech,developer,714.8846142110317|-1654.3015384234711|-859.6148375260937,ansible/ansible,4.61
theunkn0wn1,developer,697.4674599035325|-1489.7216105094076|-1071.0967656992857,ansible/ansible,4.46
AlanCoding,developer,518.1981979012974|-1292.402512556769|-838.6255122658298,ansible/ansible,4.38
Aysha-py,developer,479.0383587578518|-1660.5748806770844|-1014.495699436266,ansible/ansible,4.24
Zocker1999NET,developer,744.4779171541255|-1379.3831967566525|-848.493577312867,ansible/ansible,4.06
riadhhamdi,developer,265.51769831391783|-1474.881215686251|-827.1952347457352,ansible/ansible,4
ari75,developer,630.2449833750961|-1655.5279015860099|-1405.9570513136118,ansible/ansible,3.97
ErikJiang,developer,767.0874063432883|-1477.9146105813445|-1260.0800681293956,ansible/ansible,3.87
n2N8Z,developer,548.3084824475768|-1187.5762857496852|-1162.802245115745,ansible/ansible,3.83
Anuken/Mindustry,repo,-110.56577606531891|-1252.253560528864|774.0449397812035,,60.18
Anuken,developer,-113.475953429855|-1037.650979482265|772.0507396818407,Anuken/Mindustry,28.84
MEEPofFaith,developer,-255.20132843350225|-1285.6602572439404|1028.785622414895,Anuken/Mindustry,18.27
Darkness6030,developer,119.8892820297275|-1328.144897245306|944.1145139958448,Anuken/Mindustry,17.58
BalaM314,developer,-267.1843432874283|-1499.5514341343455|971.2527272226919,Anuken/Mindustry,11.83
way-zer,developer,-357.47650918933573|-1495.9769150733857|831.861326235291,Anuken/Mindustry,11.27
phinner,developer,-308.60421034191575|-1316.821301345934|638.7242213707891,Anuken/Mindustry,9.44
SSTentacleSS,developer,122.55780633049699|-1184.153062065644|958.1521379404751,Anuken/Mindustry,7.8
Yoru-Kitsune,developer,-223.10026573693372|-1222.1928867628994|1023.1426857711668,Anuken/Mindustry,7.65
Otamamori917,developer,-271.1878572379929|-1209.3881449768744|671.9935183324499,Anuken/Mindustry,7.33
Slotterleet,developer,-398.3684207748764|-1325.8594478754708|1062.8333429181378,Anuken/Mindustry,7.13
JniTrRny,developer,-298.74749360762087|-1324.4132085935905|1049.600204902012,Anuken/Mindustry,7.03
bend-n,developer,-289.3744638326866|-1547.2566826459602|723.5655499993909,Anuken/Mindustry,6.77
buthed010203,developer,86.81387980401689|-1255.2821047626387|861.1623568056247,Anuken/Mindustry,6.32
SITUVNgcd,developer,-290.57975726126625|-1025.8803146329183|1037.8740065059335,Anuken/Mindustry,6.31
stacktrace-error,developer,-285.3420958861835|-1369.5338786361117|1068.890216725155,Anuken/Mindustry,5.99
rekokoro,developer,-366.17466467000565|-1109.7953328658307|616.4974630076151,Anuken/Mindustry,5.83
Mythril382,developer,-58.957847319008295|-981.2291717345181|995.9714636307081,Anuken/Mindustry,5.81
camelStyleUser,developer,-202.24082829590043|-1314.6712735199867|644.7492733409588,Anuken/Mindustry,5.7
Lime712,developer,-125.39557518535088|-1415.5695162705865|1057.2576891612794,Anuken/Mindustry,5.34
frieda666,developer,169.19294304467837|-1215.9121412214672|500.07154373345753,Anuken/Mindustry,5.24
3Snake3,developer,97.63030976810228|-1010.3941964295992|983.5492711360976,Anuken/Mindustry,5.24
Phippe,developer,-392.2222361121468|-1536.1258925239322|725.0610613962542,Anuken/Mindustry,5.2
Agzam-Ar,developer,153.24157281454086|-1303.834449003224|503.6164497552117,Anuken/Mindustry,5
Kieaer,developer,-273.84489765429873|-1144.6479819474189|1002.7919590508908,Anuken/Mindustry,4.89
JasperChaseTOQ,developer,114.53988093124349|-1373.5689631032437|965.8080880807454,Anuken/Mindustry,4.69
thedimas3007,developer,161.35099753489635|-1074.0236085934373|1058.086684374617,Anuken/Mindustry,4.69
HamzaGSopp,developer,133.14006166389083|-1128.6456792603053|633.6532194242616,Anuken/Mindustry,4.58
tech3mi,developer,105.81830156371143|-1386.9884882061333|731.2262269208018,Anuken/Mindustry,4.58
BeDanGames,developer,-293.40662151317855|-1059.3859333544829|663.4281583275261,Anuken/Mindustry,4.47
Shawak,developer,-257.1472444145229|-1466.16414192596|538.976594310878,Anuken/Mindustry,4.47
apache/accumulo,repo,1172.717810719595|1181.2071827119576|-1315.9132711066136,,23.08
keith-turner,developer,996.4157338343965|1447.207256956559|-1262.8682932242746,apache/accumulo,59.47
dlmarion,developer,1413.8064742467209|891.4591940319115|-1312.026472476603,apache/accumulo,56.5
ctubbsii,developer,873.5976161777722|1308.4940248255639|-1335.6681573803312,apache/accumulo,6.59
cshannon,developer,1086.770830913428|1422.283430399132|-1402.9436676385567,apache/accumulo,34.56
EdColeman,developer,1296.6068211339107|926.1549935442798|-1096.7801299866583,apache/accumulo,31.29
DomGarguilo,developer,1297.2218114947968|1432.7675707665876|-1314.2367549374521,apache/accumulo,29.57
ddanielr,developer,1269.9354752332572|1254.8301978883574|-1190.4862092003227,apache/accumulo,15.4
ivakegg,developer,1433.903388056779|1007.3024400928781|-1134.5910865270575,apache/accumulo,12.48
Manno15,developer,1443.3946166946857|1160.4811164326504|-1207.1900059391273,apache/accumulo,6.54
jmark99,developer,907.1307448644645|1119.8394166806877|-1327.0138949339998,apache/accumulo,5.61
jschmidt10,developer,1178.54733150223|1013.7386840986841|-1160.3995504871316,apache/accumulo,4.41
cawaring,developer,1089.974243020029|1390.9788840288256|-1016.7325872574063,apache/accumulo,4.24
FineAndDandy,developer,1184.5294643923921|1131.5631582332173|-1144.8363862410226,apache/accumulo,3.74
alerman,developer,1213.2829898135772|938.6087140077884|-1138.053743168754,apache/accumulo,2.24
hlgp,developer,1379.1080843495856|1457.8563606306716|-1561.7567278774652,apache/accumulo,1.73
AlbertWhitlock,developer,1043.9918723119936|1421.82317328479|-1217.6119046771182,apache/accumulo,1.73
keith-ratcliffe,developer,925.2238674397001|1287.736852700184|-1457.2461496685942,apache/accumulo,1.41
dtspence,developer,924.0086268025126|1297.3781376172383|-1351.746633095474,apache/accumulo,1.41
avgAGB,developer,1121.1203121265705|1071.7695588817437|-1585.0101412252802,apache/accumulo,1.41
apache/airflow,repo,-613.5213929233072|84.52350429635749|1224.238172649953,,258.48
potiuk,developer,-801.2214781484707|-82.59889870536057|1235.7933130944316,apache/airflow,106.26
uranusjr,developer,-400.0094141943648|-98.36652835093469|1325.0226969890214,apache/airflow,89.09
jedcunningham,developer,-580.6054814532753|-206.94158568721286|1330.5318284701725,apache/airflow,61.33
eladkal,developer,-781.8541478000843|-41.699640413157056|1515.6621308728638,apache/airflow,56.03
dstandish,developer,-690.511499069207|193.35836745602018|1058.9864773479947,apache/airflow,55.97
hussein-awala,developer,-821.6278534846278|187.53757814254186|1327.9055993393263,apache/airflow,52.41
vandonr-amz,developer,-319.33074002300384|314.9692854801558|1463.689926450731,apache/airflow,50.36
vincbeck,developer,-542.0543880623297|76.74340422283268|1419.627750596754,apache/airflow,50.32
pankajkoti,developer,-526.5283275241447|-22.88777867648497|1460.83439903837,apache/airflow,49.74
ferruzzi,developer,-655.3853770030365|121.98090147499266|1156.6893763817848,apache/airflow,48.52
