node_name,node_type,node_position,parent,weight
Maleclypse,developer,1085.9196435336041|-653.2092060787079|-1200.0356365586958,CleverRaven/Cataclysm-DDA,76.84
Procyonae,developer,847.2223461768926|-230.24156641727598|-1275.3518623183284,CleverRaven/Cataclysm-DDA,51.92
TheShadowFerret,developer,902.1366586791028|-87.3511523904208|-1452.5889674523066,CleverRaven/Cataclysm-DDA,47.35
anoobindisguise,developer,903.9243788856285|-415.8652690527402|-1158.852833087133,CleverRaven/Cataclysm-DDA,46.2
RenechCDDA,developer,1288.9746978435342|-128.21170988183974|-1201.204007459516,CleverRaven/Cataclysm-DDA,46.14
GuardianDll,developer,1150.4672629991458|-474.3863584146568|-1418.6579924983698,CleverRaven/Cataclysm-DDA,42.91
bombasticSlacks,developer,807.2965289185636|-620.9047200294603|-1558.0447214814455,CleverRaven/Cataclysm-DDA,40.83
Qrox,developer,1214.2729783390214|-131.42447647263032|-1331.8839040114688,CleverRaven/Cataclysm-DDA,37.6
irwiss,developer,1113.9396767812693|-59.29268315176364|-1647.855081266245,CleverRaven/Cataclysm-DDA,36.33
fairyarmadillo,developer,1087.1440661732797|-376.48528535997116|-1368.6472428719244,CleverRaven/Cataclysm-DDA,35.87
Karol1223,developer,1180.7784370946272|-351.11526096487046|-1512.1535558567464,CleverRaven/Cataclysm-DDA,35.85
dseguin,developer,1103.887698083335|-337.99335784822466|-1585.4246631309265,CleverRaven/Cataclysm-DDA,32.23
SurFlurer,developer,791.4994438012417|-473.40544748646363|-1160.3393169766632,CleverRaven/Cataclysm-DDA,32.09
kevingranade,developer,1075.131017521241|-644.184577062178|-1383.2454067351869,CleverRaven/Cataclysm-DDA,31.47
andrei8l,developer,942.0246817037271|-415.6541725423222|-1525.7090361718833,CleverRaven/Cataclysm-DDA,28.46
randomtyper,developer,1330.9624235102121|-610.9627748123482|-1369.5962953317044,CleverRaven/Cataclysm-DDA,27.28
NetSysFire,developer,1036.1357664899333|-286.9838555136402|-1333.374082903382,CleverRaven/Cataclysm-DDA,25.35
PatrikLundell,developer,1024.3725386999158|-611.7167332077793|-1356.6092534302127,CleverRaven/Cataclysm-DDA,23.27
Venera3,developer,792.3950249173208|-556.1636769924734|-1235.6503896720712,CleverRaven/Cataclysm-DDA,23.01
casswedson,developer,1255.3305516883042|-163.0899463970012|-1616.2105495897667,CleverRaven/Cataclysm-DDA,22.62
Rewryte,developer,1038.9783888020095|-67.90826087361074|-1270.7950412378043,CleverRaven/Cataclysm-DDA,21.58
Fris0uman,developer,1200.6724143105434|-102.01023900968914|-1262.8317921723476,CleverRaven/Cataclysm-DDA,20.75
sadenar,developer,1002.3214822349014|-60.261630242342335|-1315.1489114907822,CleverRaven/Cataclysm-DDA,20.47
MNG-cataclysm,developer,1162.973079217921|-411.4580440384775|-1145.9874127008297,CleverRaven/Cataclysm-DDA,20.23
Standing-Storm,developer,857.5269400303372|-228.57761530398233|-1668.4872064850208,CleverRaven/Cataclysm-DDA,19.06
Kamayana,developer,1289.5656500621403|-340.66862294346043|-1462.7616382071965,CleverRaven/Cataclysm-DDA,18.89
Daved27hundred,developer,1260.95716016002|-77.17089067371285|-1259.2670769166893,CleverRaven/Cataclysm-DDA,18.8
CatWithFourEyes,developer,833.894028965962|-327.42169217598837|-1636.3345543242813,CleverRaven/Cataclysm-DDA,18.59
DoctorBoomstick,developer,1215.5594621396244|-484.87703198839733|-1498.3745910729338,CleverRaven/Cataclysm-DDA,18.47
Drew4484,developer,1118.3042431962092|-592.192517602677|-1455.5512684040577,CleverRaven/Cataclysm-DDA,17.13
cloudera/hue,repo,-1479.9586835691127|-101.14253277307466|1205.0891475057697,,30.55
Harshg999,developer,-1596.0941544985071|-391.43175688396497|1258.0763918456787,cloudera/hue,28.83
ranade1,developer,-1459.7794894149595|-311.089604596944|1156.529206334721,cloudera/hue,16.24
wing2fly,developer,-1431.9495229677345|-112.85587299234146|1454.1238823979634,cloudera/hue,15.36
bjornalm,developer,-1351.1841038869077|84.71324475718865|1183.950741414294,cloudera/hue,14.3
agl29,developer,-1612.9219280311781|-42.462318248659074|1360.0428173201014,cloudera/hue,13.94
amitsrivastava,developer,-1707.9528678534002|55.47031299815319|1331.915195489122,cloudera/hue,13.88
athithyaaselvam,developer,-1412.5234830815218|162.13259867602846|934.0222361792562,cloudera/hue,12.38
JohanAhlen,developer,-1708.8443028080792|81.20414396984489|1071.755032811967,cloudera/hue,11.95
quadoss,developer,-1428.978116312377|156.48809753083708|1160.2496757782833,cloudera/hue,8.62
SoniaComp,developer,-1611.715940071857|102.28591036855426|930.9794063853573,cloudera/hue,5.87
pychheda,developer,-1217.4376136078993|-392.7982022829159|984.4821231120299,cloudera/hue,5.29
sumtumn,developer,-1495.814727403386|-338.7827381369972|1371.445702873437,cloudera/hue,4.73
g3rg0,developer,-1239.9953179482375|-301.60711849481544|1451.8578375782754,cloudera/hue,4.56
pid998877,developer,-1230.0174687831393|-198.44038298634072|1263.684045619239,cloudera/hue,4.56
Madhukar98,developer,-1623.5796857887271|167.6259311566456|1086.885606498559,cloudera/hue,3.32
HalimKim,developer,-1362.4464755664947|-336.45110755614553|1267.4457997683764,cloudera/hue,3.16
chenlein,developer,-1355.266753990029|26.025427032329787|1301.2759535067953,cloudera/hue,3.15
zhangzhaohuazai,developer,-1228.9264441650416|-226.68243701292295|924.1548738107128,cloudera/hue,3
deept-creditone,developer,-1250.522073868326|-385.9278514930289|976.7202115209558,cloudera/hue,2.73
sreenaths,developer,-1655.5852168925837|105.1599750376077|926.6096321286003,cloudera/hue,2.45
cgkbfrd,developer,-1252.9807580407844|-312.8685713851235|1315.9257356357389,cloudera/hue,2.45
pratik4891,developer,-1646.428306812558|135.40691101448851|1431.242830163328,cloudera/hue,2.45
nidhibhatg,developer,-1180.8354860045354|-97.08205842214579|941.0981625555785,cloudera/hue,2
ericbrow,developer,-1338.7286151176986|-66.65371099412425|1140.221296274876,cloudera/hue,2
KeithTt,developer,-1253.154691613192|-43.32395668664401|1346.7124972912761,cloudera/hue,2
sbbagal13,developer,-1397.131596732931|-60.70781550573315|1400.7584169939005,cloudera/hue,2
BoomLee1024,developer,-1616.0058586798054|-78.73874277333596|1245.160418118036,cloudera/hue,1.73
Jrebel-i,developer,-1701.2214445414734|80.23812582906078|1124.9290239773281,cloudera/hue,1.73
sqxinquan,developer,-1334.9667667674912|-302.11099330622113|1133.1002392300147,cloudera/hue,1.73
Eanhain,developer,-1427.3201662967601|57.15487658389145|1463.8963752616596,cloudera/hue,1.73
cloudfoundry/uaa,repo,-647.0031016938165|327.591962027554|607.9825082342372,,14.13
strehle,developer,-372.86078841826406|327.057657180565|847.5392438499413,cloudfoundry/uaa,29.08
Tallicia,developer,-575.1161327105132|447.04381237928413|873.8844590679298,cloudfoundry/uaa,17.85
cf-gitbot,developer,-529.5332928040693|461.7444461882794|616.6518761903062,cloudfoundry/uaa,17.73
bruce-ricard,developer,-428.95265924645923|146.42828373460682|899.5997584875307,cloudfoundry/uaa,17.52
hsinn0,developer,-416.3778510885709|113.66180153750454|837.8781030768789,cloudfoundry/uaa,15.04
swalchemist,developer,-838.024715876043|263.5765802531568|592.4826936527759,cloudfoundry/uaa,10.76
adrianhoelzl-sap,developer,-600.4659785062281|508.0715877773261|537.4397673333825,cloudfoundry/uaa,8.73
peterhaochen47,developer,-577.1555393429885|441.7199005036135|522.6614433100406,cloudfoundry/uaa,6.95
cache-sk,developer,-765.6750950424519|319.6673216559312|354.9616107789561,cloudfoundry/uaa,3.65
mikeroda,developer,-852.9182680507524|488.77514844138983|888.6394046964821,cloudfoundry/uaa,3.24
saurabh-rahate,developer,-944.4737402234242|457.02555966260877|888.4735783252488,cloudfoundry/uaa,3
angusm43ge,developer,-733.30440639449|114.48068546253162|496.8296861056296,cloudfoundry/uaa,2.45
jaristiz,developer,-675.1800488485719|116.47078646475586|523.2698873151687,cloudfoundry/uaa,2.24
heissa83,developer,-866.640019382854|136.54538249934248|320.1180016462751,cloudfoundry/uaa,1.41
wberry-godaddy,developer,-450.1191746900759|86.96380313341237|608.0689983351854,cloudfoundry/uaa,1
jaisankar1,developer,-696.8690252207244|618.0912894205276|334.55957233931446,cloudfoundry/uaa,1
DanSalt,developer,-409.9860034975601|496.4134275013656|311.799301560653,cloudfoundry/uaa,1
commontk/CTK,repo,-906.5242775234453|-706.6808074846701|409.28137890213816,,2.64
jcfr,developer,-972.2240799666104|-622.8197143606963|473.1372450960534,commontk/CTK,19.36
jamesobutler,developer,-875.01098398989|-468.84575776394513|240.44270190394195,commontk/CTK,5.74
lassoan,developer,-1037.3085328710267|-994.9314703984344|578.3022135590626,commontk/CTK,5.56
Punzo,developer,-1116.7660511370302|-789.6176800283581|300.0619885899707,commontk/CTK,4.88
malbi,developer,-1099.7757236547704|-914.0422530847018|360.1989233372887,commontk/CTK,2.73
pieper,developer,-647.7159056798675|-972.3702387773479|571.8145903828006,commontk/CTK,2
JamesHOOOOO,developer,-834.1299184538145|-946.3883281905413|395.6230768421318,commontk/CTK,1.41
pandas-a11y-11,developer,-728.1412112206323|-830.8565929471401|482.189375976856,commontk/CTK,1.41
ZhangAdjy,developer,-1083.9209636889516|-495.44193893197627|529.4264961028798,commontk/CTK,1.41
sjh26,developer,-1030.749291400499|-924.3819409290309|466.6767619844121,commontk/CTK,1
freeman16601,developer,-1044.5437913874916|-901.4592478194738|556.5904848752724,commontk/CTK,1
company-mode/company-mode,repo,-825.279190425686|991.6036495014391|145.9597810636567,,4.08
dgutov,developer,-1026.3994575520862|1078.4991903873877|107.17743855776774,company-mode/company-mode,7.41
willemml,developer,-554.8044936111545|1182.733599263639|256.7742914557592,company-mode/company-mode,2.45
technician77,developer,-772.2114066628394|757.9557423918527|260.7367627306918,company-mode/company-mode,2.45
viliaapro,developer,-659.3269966649228|1264.7099096856489|47.8268791687496,company-mode/company-mode,2.24
yugaego,developer,-538.3003973786565|839.3220466293693|417.4209969634876,company-mode/company-mode,2.24
JonatanSahar,developer,-621.8743298751465|1137.1690034487601|310.78287754902976,company-mode/company-mode,1.73
paaguti,developer,-996.0679095666728|1160.9908614364228|415.0791724365681,company-mode/company-mode,1.73
mikaelspringer,developer,-569.7593530061723|968.640880481921|154.55070327152794,company-mode/company-mode,1.41
kuba-orlik,developer,-1066.4438033948386|931.0807109836384|414.8753201062834,company-mode/company-mode,1.41
Jdogzz,developer,-840.3776604626796|884.2352775617665|140.82331217789726,company-mode/company-mode,1.41
crotoc,developer,-613.9133338534918|967.6983612941629|-115.65923095862212,company-mode/company-mode,1
mihaiolteanu,developer,-761.194381652397|1031.4920271244002|443.31696230706564,company-mode/company-mode,1
jellelicht,developer,-961.3630012556415|795.929367466121|111.72081675073645,company-mode/company-mode,1
jdtsmith,developer,-783.229632459226|1155.4131282057886|360.81385690176614,company-mode/company-mode,1
composer/composer,repo,-1132.0906232183108|526.2770516505982|-719.4892506950965,,16.37
Seldaek,developer,-1179.7996794200294|793.8168890829354|-667.0156158738432,composer/composer,5.77
stof,developer,-937.1140657123019|292.1360587338927|-736.7229859764027,composer/composer,45.86
fredden,developer,-1363.1392931349724|756.2529000486472|-461.80205841615566,composer/composer,2.83
drupol,developer,-1291.9012110812012|243.96372385736066|-666.5374878121295,composer/composer,12.66
theoboldalex,developer,-938.2302738332404|380.7075931715845|-422.7074440007764,composer/composer,7.85
mxr576,developer,-1389.1121880426572|810.9282992136909|-990.0944801926664,composer/composer,6.15
cafferata,developer,-1325.3166593893832|257.66781498350167|-621.0074360670403,composer/composer,5.24
dzuelke,developer,-1218.689379998783|418.5225824141172|-526.9342561762214,composer/composer,5.16
mvorisek,developer,-906.2697060398926|489.7207854188754|-882.9406408163538,composer/composer,22.38
naderman,developer,-1030.1105787121096|616.9926428942591|-904.6971348082802,composer/composer,5
Toflar,developer,-1288.2466526726466|585.2597827022105|-794.3327278586183,composer/composer,4.58
sshymko,developer,-1151.3559634539217|508.4805129689761|-563.1151167655305,composer/composer,4.41
llaville,developer,-1263.0153544850884|523.6855370806611|-608.892623857854,composer/composer,4.24
mteu,developer,-1210.8558858603903|358.0434500816771|-763.6827846742366,composer/composer,4.06
helhum,developer,-1135.8026685541863|383.92880971529814|-562.817640368891,composer/composer,3.65
dunglas,developer,-842.2295915608156|620.3235651993585|-655.7423957556589,composer/composer,3.61
Attia-Ahmed,developer,-1237.0239114518317|406.67540186307764|-907.0369084015343,composer/composer,3.32
vtsykun,developer,-1265.9754070741017|411.87213834278964|-421.18959059250153,composer/composer,3.15
glaubinix,developer,-1066.7544760346643|638.548351371707|-453.96346878060706,composer/composer,3.24
localheinz,developer,-1405.8012603020898|396.48861949381643|-747.1361831958611,composer/composer,3
aschempp,developer,-1343.9742789346426|779.8669864279516|-597.6370901396886,composer/composer,3
BernhardK91,developer,-1010.3232179795139|370.9258702728544|-673.3739922686069,composer/composer,3
lkrms,developer,-937.0799440880512|458.6743230484841|-699.8137825304051,composer/composer,3
imdmahajankanika,developer,-1159.5319433312488|290.4984980104666|-661.9207746359943,composer/composer,3
WyriHaximus,developer,-1331.7100330850528|757.8224191528319|-572.1139886824761,composer/composer,3
imme-emosol,developer,-1064.1684988183422|429.7662340851905|-683.4438706255479,composer/composer,2.65
MirakuSan,developer,-1379.7809433469392|600.4556241180375|-934.8552499383918,composer/composer,2.65
physikerwelt,developer,-943.7916453946115|598.5127858572823|-1008.7462171313118,composer/composer,2.65
fr3nch13,developer,-885.2862880593477|553.2977688884077|-847.257020756458,composer/composer,2.45
Saad-Samba,developer,-996.5222555626461|344.5627993851335|-867.3586405165167,composer/composer,2.41
composer/packagist,repo,-612.0090186889698|-666.6109052530525|-714.7304002820083,,1.29
Seldaek,developer,-535.6326576795484|-492.8074413197698|-957.8298210088724,composer/packagist,5.77
94noni,developer,-823.6100672382953|-796.6721219155363|-875.5873327331306,composer/packagist,15.63
Spomky,developer,-905.3067143617154|-530.7445842269358|-501.93802527830087,composer/packagist,13.97
stof,developer,-657.970658262244|-584.8777407384093|-542.7269999704215,composer/packagist,45.86
JonPurvis,developer,-618.0705644071945|-863.2053762971982|-967.9663395346904,composer/packagist,3.46
vtsykun,developer,-562.186821328378|-550.7237439842672|-477.9695533210794,composer/packagist,3.15
SeymaAkdoganRepalogic,developer,-791.5206970490676|-483.8213603597223|-986.4700690944824,composer/packagist,2.24
pbek,developer,-374.4019579130461|-431.9300145224894|-839.629009804858,composer/packagist,2.24
VidurK2,developer,-787.6849801022556|-822.822272051201|-963.4450489854687,composer/packagist,2
Davigugu55,developer,-358.45019518096274|-436.52300537450094|-868.950556609234,composer/packagist,2
Ocramius,developer,-766.5287607663352|-383.0771458901344|-846.7613981302302,composer/packagist,2
drbyte,developer,-402.64531586248467|-957.5110536372928|-745.1974097203797,composer/packagist,1.73
xiaohuilam,developer,-900.162232365732|-404.5170992851754|-415.0748707727066,composer/packagist,1.73
tcpdump-examples,developer,-584.8469230631028|-667.0293721616401|-517.8205554621356,composer/packagist,1
unix-dude,developer,-636.5933374517575|-666.5889905846144|-894.825097616797,composer/packagist,1
confluentinc/librdkafka,repo,-695.898544075932|-444.37439656442325|-1370.3015822090567,,14.83
emasab,developer,-923.2686794641105|-715.437515563709|-1527.735775806132,confluentinc/librdkafka,25.43
milindl,developer,-447.83790702117983|-409.2030041371185|-1265.2715855880238,confluentinc/librdkafka,20.01
pranavrth,developer,-441.2755786144086|-400.0827917590202|-1106.7663962957554,confluentinc/librdkafka,18.15
mahajanadhitya,developer,-442.69701570105815|-465.7904925770356|-1581.367736056032,confluentinc/librdkafka,7.39
wmorgan6796,developer,-874.7969750999254|-602.3500101622637|-1198.6759791166478,confluentinc/librdkafka,5.47
mathispesch,developer,-765.6084668097873|-342.3167352820732|-1542.4899403012457,confluentinc/librdkafka,4.24
mensfeld,developer,-861.1752616697506|-618.0241708691376|-1368.990582789605,confluentinc/librdkafka,3.65
bitemyapp,developer,-687.381857116407|-487.6772382254741|-1639.2830845744902,confluentinc/librdkafka,3.32
dstelljes,developer,-679.4527494511192|-633.1298569081071|-1329.2564737594673,confluentinc/librdkafka,3.15
notnoop,developer,-660.7878839817595|-530.0494431858326|-1322.0981818077462,confluentinc/librdkafka,3
dpcollins-google,developer,-797.9001517070994|-510.43651082192343|-1636.3384910459504,confluentinc/librdkafka,2.83
Ten0,developer,-426.8793705378497|-493.641534847627|-1241.774348096383,confluentinc/librdkafka,2.24
rizkyarlin,developer,-961.8675605831892|-571.5698252304148|-1364.3577552444292,confluentinc/librdkafka,2
roxelo,developer,-718.2695939333021|-733.2064233913324|-1322.1958511674711,confluentinc/librdkafka,2
anmonteiro,developer,-417.1661399440645|-343.9374191267758|-1496.4502578139059,confluentinc/librdkafka,2
balubinnu,developer,-459.26695982265164|-611.8872733286436|-1306.9512918141181,confluentinc/librdkafka,2
alpire,developer,-559.7813103538656|-371.6505773967152|-1386.2728499445902,confluentinc/librdkafka,2
snar,developer,-818.5157030442165|-396.31255041560814|-1667.198216439783,confluentinc/librdkafka,1.73
pavel-pimenov,developer,-904.5861934449797|-503.4228780891374|-1426.5383709467994,confluentinc/librdkafka,1.73
fullvindersofr,developer,-900.8605495123676|-451.24141698186463|-1167.8708260113722,confluentinc/librdkafka,1.73
migarc1,developer,-864.1649566377483|-637.2856095668269|-1537.598847772128,confluentinc/librdkafka,1.73
anchitj,developer,-899.7895387429826|-188.70603297638831|-1192.0876668616104,confluentinc/librdkafka,1.73
lvhuat,developer,-651.9653771529408|-578.6624824098656|-1340.370309009168,confluentinc/librdkafka,1.73
WouterVanNifterick,developer,-530.66683751858|-683.8771963063056|-1162.223730253353,confluentinc/librdkafka,1.73
jainruchir,developer,-959.6337004854634|-305.53296979072775|-1261.285781731177,confluentinc/librdkafka,1.73
shanson7,developer,-764.9679939887212|-513.8779299934565|-1485.9220158342803,confluentinc/librdkafka,1.73
samar-elsayed,developer,-921.6948674677458|-397.92729514118656|-1659.1610927056474,confluentinc/librdkafka,1.73
aivarsk,developer,-633.5196791175622|-743.3336911097058|-1461.3762057715367,confluentinc/librdkafka,1.73
Pilipets,developer,-413.9138087499324|-255.40487922347194|-1666.7923295754547,confluentinc/librdkafka,1.41
chen9t,developer,-606.1325542954078|-343.5186956611559|-1128.3624763688151,confluentinc/librdkafka,1.41
CppMicroServices/CppMicroServices,repo,1323.7408758455895|802.7720722972176|23.080125481189498,,6.65
tcormackMW,developer,1497.5850611898509|976.5478152334066|18.91774875336489,CppMicroServices/CppMicroServices,23.01
jeffdiclemente,developer,1517.163498135375|686.9863347573764|-123.90030411077231,CppMicroServices/CppMicroServices,21.62
carneyweb,developer,1590.7032476188624|530.2013167644762|-252.54527410606096,CppMicroServices/CppMicroServices,10.68
Monika032,developer,1061.3274466469802|567.187230237028|-208.79195968944623,CppMicroServices/CppMicroServices,8.63
pelliott-mathworks,developer,1172.4536305975782|824.0898352493424|236.5264225759513,CppMicroServices/CppMicroServices,3.46
BrianWeed,developer,1538.3560544138604|1088.6943604446603|120.48581445578873,CppMicroServices/CppMicroServices,3.46
thrtouati,developer,1574.1442261448951|508.4286420979368|250.1750305957902,CppMicroServices/CppMicroServices,3.32
ShivamNegi,developer,1464.9443401048488|990.3423584694275|-61.9048435347506,CppMicroServices/CppMicroServices,3.16
XJ-0461,developer,1309.7839171012824|1057.8957297203447|201.58895655747875,CppMicroServices/CppMicroServices,2.65
insi-eb,developer,1134.3112088896398|804.9621355880824|196.59666933784547,CppMicroServices/CppMicroServices,2.24
Burgch,developer,1373.5066192350018|1001.691824507698|-82.25107889531876,CppMicroServices/CppMicroServices,1.73
springLee1989,developer,1420.2575664039766|969.0116580319584|185.31846203454165,CppMicroServices/CppMicroServices,1.41
curl/curl,repo,-72.5624202897227|-178.39958166658107|-1402.3568194599065,,80.23
bagder,developer,-228.88006275864743|-354.14454398321703|-1351.8227035415814,curl/curl,53.84
icing,developer,121.29136946285996|-344.5660951379578|-1287.5270378006912,curl/curl,28.07
dfandrich,developer,-109.04643347409478|-164.61149055158978|-1680.9014930517046,curl/curl,20.82
vszakats,developer,-321.225965830176|-99.14470683803842|-1469.1602817275716,curl/curl,18.22
jay,developer,-25.3395988902044|-319.1187709615099|-1544.7479007667016,curl/curl,14.98
emanuele6,developer,-280.34946588902704|-241.3678937918205|-1295.3595141838769,curl/curl,11.74
pheiduck,developer,-352.07458741966605|-63.25263350476814|-1447.0118862213685,curl/curl,11.58
MarcelRaad,developer,187.80405827509514|34.65850274140041|-1657.3658294297475,curl/curl,9.37
Karthikdasari0423,developer,-121.36114861412176|-294.97640928640476|-1589.888513617071,curl/curl,7.94
janbrummer,developer,-312.0689695744356|-415.69779748399037|-1109.4859431388195,curl/curl,7.74
kop316,developer,-223.0623015807358|-388.1009273163449|-1474.6835470422257,curl/curl,7.24
RaitoBezarius,developer,-131.40094218614786|-411.8377228498315|-1298.8518943419094,curl/curl,6.93
ryandesign,developer,-135.02903280695426|-164.30621466613843|-1263.7376106112868,curl/curl,1.73
gvanem,developer,-48.09620495765506|-197.2587628181252|-1518.2561750427055,curl/curl,6.51
piru,developer,-103.86373834879385|59.1784128740253|-1259.2162713686234,curl/curl,6.48
markg85,developer,64.34639482771223|-61.09292633954976|-1173.1025347865789,curl/curl,5.98
injertao,developer,30.920576556936|68.98845311814341|-1620.3643957851903,curl/curl,5.66
jzakrzewski,developer,-168.94575879879173|95.46932721017174|-1587.8280150413898,curl/curl,5.65
bneradt,developer,-134.47130205995236|-215.18999352022132|-1421.8228992703407,curl/curl,5.61
MonkeybreadSoftware,developer,-316.52789216208873|-336.6002817179286|-1258.2192333085945,curl/curl,5.34
MichalPetryka,developer,-316.0802263088374|-288.90166104850886|-1669.857092190536,curl/curl,5.16
nmoinvaz,developer,144.24811840308632|-390.5807797462306|-1135.6141316033911,curl/curl,5.1
calvin2021y,developer,-139.62132128655017|-259.6344408433661|-1422.217112512702,curl/curl,5
user8446,developer,7.725892603630427|-461.2756037901047|-1359.495645499507,curl/curl,4.65
jhauga,developer,-299.8197370067872|-321.93728617794113|-1511.8252726697272,curl/curl,4.47
monnerat,developer,-57.302497034807686|-212.00763211296476|-1559.6742405898215,curl/curl,4.46
kyled-dell,developer,-31.21613043747317|-249.7141946949525|-1610.4104871487607,curl/curl,4.36
lucasnetau,developer,-161.71724703234545|-47.683253539279804|-1167.8540156371064,curl/curl,8.81
tatsuhiro-t,developer,9.383405961249707|-96.9024545452217|-1279.4734139249583,curl/curl,4.15
Futaura,developer,-54.280053836863885|-10.261878114606134|-1388.8885512922539,curl/curl,4.12
cython/cython,repo,-941.7019575266303|-1430.9258540468477|-872.261108068768,,18.82
scoder,developer,-1053.9243463710739|-1351.1229231666994|-948.9970056961081,cython/cython,39.34
da-woods,developer,-942.8507954695981|-1243.8993634935132|-1085.0148926667657,cython/cython,38.65
mattip,developer,-898.891297879256|-1563.384926944491|-891.7579908153499,cython/cython,3.16
matusvalo,developer,-1162.6037781234836|-1211.4235692340808|-968.6392033956544,cython/cython,12.57
h-vetinari,developer,-749.6513543718747|-1554.5619558454189|-940.7603958260855,cython/cython,3.73
dalcinl,developer,-1028.9041810384094|-1455.2332272037304|-889.7142183893532,cython/cython,12.39
0dminnimda,developer,-1161.236893462263|-1570.7046046120836|-864.8624843553808,cython/cython,8.63
imphil,developer,-826.793762366902|-1607.9331230339399|-706.9346508954704,cython/cython,6.59
vyasr,developer,-885.4094487439886|-1156.4959172743281|-837.4899967138044,cython/cython,6.46
tacaswell,developer,-1037.3430731897192|-1536.9975833436017|-604.7554975649437,cython/cython,5.88
matttyson,developer,-1143.2852979389152|-1220.8334956013077|-1147.5979084640387,cython/cython,4.58
ferdnyc,developer,-790.1070406992978|-1673.3616621072704|-991.8834123138996,cython/cython,2.65
eli-schwartz,developer,-1236.7823246584203|-1704.6985179003673|-1133.863959394821,cython/cython,3
garychia,developer,-1066.2362394565246|-1152.091334266139|-814.5212317808373,cython/cython,3.83
TeamSpen210,developer,-1018.7633594045253|-1448.565410307805|-864.5044963371156,cython/cython,3.65
henryiii,developer,-1028.4863982390239|-1135.696623049259|-692.652061474211,cython/cython,5.57
isuruf,developer,-1095.9215104231084|-1443.1903494438404|-1011.8977396469103,cython/cython,3.46
lysnikolaou,developer,-1189.6715333429033|-1691.7607955564192|-861.5164400283686,cython/cython,3.46
WillAyd,developer,-1117.6021067345666|-1368.8705027779686|-1030.3444915212485,cython/cython,31.01
frederikdyrmose,developer,-1004.324065594619|-1601.5263963791372|-651.6989987043224,cython/cython,3.32
evan0greenup,developer,-788.4553810416376|-1341.250758773726|-917.5954604888743,cython/cython,3.32
socketpair,developer,-1205.7434206169714|-1442.0879694964033|-798.7271580161078,cython/cython,3.16
Ericgig,developer,-1121.0944305904434|-1647.1096176088422|-933.1503974107294,cython/cython,3.15
EwoutH,developer,-1048.7053480296215|-1458.8779778041794|-582.7369637087749,cython/cython,3
leofang,developer,-951.4697472800967|-1274.7968553804844|-1098.3151953095476,cython/cython,2.83
hire-marat,developer,-670.3658303993514|-1632.7260714416038|-955.9682068719751,cython/cython,2.73
marcwimmer,developer,-798.2535554371975|-1669.1190340163505|-609.0654294784122,cython/cython,2.65
gamedev33,developer,-671.0286479353317|-1511.8372324063648|-881.5519052788784,cython/cython,2.65
runzhi214,developer,-994.4012836838353|-1561.2063616414034|-844.0659819415275,cython/cython,2.65
DimitriPapadopoulos,developer,-921.3385010011061|-1385.888240355385|-593.379076965044,cython/cython,1.73
CZ-NIC/pyoidc,repo,-1102.4834070621823|61.57650512171267|-1214.8153843461741,,1.36
schlenk,developer,-1119.6881665111746|143.73557444084133|-1029.9988717193626,CZ-NIC/pyoidc,5.1
tpazderka,developer,-1096.931898598757|140.1328109469432|-1311.2773368608023,CZ-NIC/pyoidc,2.83
infohash,developer,-1058.477201711464|-106.18100357599937|-1064.2482354099377,CZ-NIC/pyoidc,2.24
chrislondon,developer,-1000.0850508419262|57.7665276859679|-1144.1375573131904,CZ-NIC/pyoidc,1.41
khillman,developer,-912.0302821009998|136.51572494980627|-1102.9765092106181,CZ-NIC/pyoidc,1.41
mansenfranzen,developer,-1365.2945453189136|100.60463255018158|-1022.445331961208,CZ-NIC/pyoidc,1
gbip,developer,-1149.6718445603162|159.78161966801378|-1080.8709561911935,CZ-NIC/pyoidc,1
wagnerpeer,developer,-1286.008379016216|-176.2649869608996|-996.8620812026376,CZ-NIC/pyoidc,1
d3/d3,repo,791.3233817955129|522.0557900916403|935.0682135702705,,2.18
mbostock,developer,824.0061103143273|769.8916806236882|859.3981240515524,d3/d3,12.4
Fil,developer,1044.5930505342017|811.7934207099179|1234.2882994377428,d3/d3,11.94
unidefi,developer,1060.110772743743|445.9500826111239|943.3837245896415,d3/d3,8.49
curran,developer,1090.168255614381|383.47342223604426|901.0721804877408,d3/d3,2.65
tophtucker,developer,634.3066085648697|519.8358678173535|747.965495816398,d3/d3,4.36
hamirmahal,developer,755.2535724877514|601.4281699847085|842.990266038395,d3/d3,2.45
diogoteles08,developer,906.663731454038|609.1858321575918|926.5604439527378,d3/d3,7.96
mbasakCinedigmInd,developer,956.2999728268652|360.22566229443305|982.578629653897,d3/d3,2
Meenakshise,developer,757.3928496187236|518.320060241195|921.7677316236418,d3/d3,2
software-provider,developer,620.055333180815|222.62837705123218|1184.5725866894134,d3/d3,1.73
heysujal,developer,870.4678662521852|280.25668432021416|1197.1551807165383,d3/d3,1.73
karthiktrp,developer,601.5216733350544|559.2995970742735|687.3392852849463,d3/d3,1.41
karthikeyan-accuknox,developer,1001.5342054694571|552.3187679891503|682.2836623239286,d3/d3,1.41
jinsheng200303,developer,728.7726483308538|287.0844911533161|979.0399740432156,d3/d3,1.41
yelnyafacee,developer,587.3282363390738|412.50027143737526|1215.9373186823727,d3/d3,1.41
